Id_temporada,SEASON,TEAM_ABBREVIATION
1,2003-04,CLE
2,2004-05,CLE
3,2005-06,CLE
4,2006-07,CLE
5,2007-08,CLE
6,2008-09,CLE
7,2009-10,CLE
8,2010-11,MIA
9,2011-12,MIA
10,2012-13,MIA
11,2013-14,MIA
12,2014-15,CLE
13,2015-16,CLE
14,2016-17,CLE
15,2017-18,CLE
16,2018-19,LAL
17,2019-20,LAL
18,2020-21,LAL
19,2021-22,LAL
20,2022-23,LAL
21,2023-24,LAL
