team_code,Salario,Salario Actualizado,Id_temporada
WAS,1030000,1746871,15
WAS,1000000,1714095,14
CHI,33140000,63077431,13
CHI,30140000,58685292,12
CHI,3850000,7702751,11
CHI,3850000,7936957,10
CHI,4000000,8704964,9
CHI,3250000,7291207,8
CHI,2500000,5871997,7
