Id_temporada,SEASON_ID,TEAM_ABBREVIATION
1,1984-85,CHI
2,1985-86,CHI
3,1986-87,CHI
4,1987-88,CHI
5,1988-89,CHI
6,1989-90,CHI
7,1990-91,CHI
8,1991-92,CHI
9,1992-93,CHI
10,1994-95,CHI
11,1995-96,CHI
12,1996-97,CHI
13,1997-98,CHI
14,2001-02,WAS
15,2002-03,WAS
