,price,size_stand,distance_stand,status,floor,hasLift,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,exterior_False,exterior_True,rooms_0,rooms_1,rooms_2,rooms_3,rooms_4,bathrooms_1,bathrooms_2,bathrooms_3
23,750.0,-0.3672490699867796,-0.3549680962016727,699.9968051118205,708.1551527535004,704.7764683062795,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
24,750.0,0.0114430089966669,0.341247133373214,699.9968051118205,705.4866033866903,693.4551329954023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
25,750.0,-1.4612484092722922,-1.1947869554011885,699.9968051118205,711.6891227103873,704.7764683062795,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,750.0,-0.8300949442998812,-1.0871766184308025,699.9968051118205,708.1551527535004,693.4551329954023,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
27,650.0,0.0955968043263218,-0.6546658409921362,699.9968051118205,708.1551527535004,693.4551329954023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
28,750.0,-1.2508639209481551,-1.1650758596167825,699.9968051118205,701.603661594757,693.4551329954023,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,750.0,-0.8721718419647085,-1.083702933102775,699.9968051118205,701.5941927498836,693.4551329954023,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
30,700.0,0.0955968043263218,-0.606551603789031,699.9968051118205,701.603661594757,693.4551329954023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
31,747.0,1.5262113249304536,0.7325910442648302,699.9968051118205,708.1551527535004,704.7764683062795,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
32,640.0,-1.040479432624018,-0.6928763796004394,699.9968051118205,708.1551527535004,704.7764683062795,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,750.0,-1.2508639209481551,-1.0765338378513138,699.9968051118205,704.1712573077162,704.7764683062795,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
