,price,propertyType,size_stand,exterior,rooms,bathrooms,distance_stand,status,floor,hasLift
0,750.0,flat,0.011443008996666997,True,1,1,-0.7140880325609481,good,3,True
1,750.0,flat,0.43221198564494107,True,2,1,-0.04093216090828697,good,bj,False
2,400.0,penthouse,0.3059812926504588,True,2,2,2.8338011267291647,good,2,False
3,590.0,flat,0.43221198564494107,True,3,2,2.948728375347949,good,Desconocido,False
4,684.0,studio,-0.6197104559757441,True,0,1,-0.4466142623028255,Desconocido,Desconocido,Desconocido
5,600.0,flat,0.5584426786394233,True,2,1,1.5050056264609175,good,3,False
6,600.0,duplex,0.4742888833097685,True,1,1,2.027093140443614,good,1,False
7,550.0,flat,-0.28309527465712486,True,1,1,-0.9379559657225545,good,1,False
8,700.0,studio,-1.33501771627781,True,0,1,-0.822585267912958,good,1,False
9,700.0,duplex,1.1054423482821796,True,2,1,1.0682820817095369,good,3,True
10,700.0,flat,-0.6197104559757441,False,1,1,-1.0829638511180881,good,5,False
11,550.0,flat,-0.24101837699229745,True,2,1,0.7046537452436724,good,en,False
12,695.0,flat,0.17975059965597662,True,2,1,-0.07034762389881828,good,1,False
13,650.0,flat,0.34805819031528623,True,2,1,1.9002666718713732,good,bj,False
14,700.0,flat,-1.2508639209481551,False,1,1,-0.9942001047572137,good,1,True
15,700.0,flat,-1.040479432624018,False,1,1,-1.0941978972853263,good,1,False
16,700.0,flat,-0.7038642513053989,True,1,1,-0.905879807587151,good,2,True
17,650.0,flat,0.011443008996666997,True,2,1,-0.9396558542873339,good,1,False
18,650.0,chalet,6.154670068061469,False,3,1,1.9582846076692806,good,Desconocido,Desconocido
19,700.0,flat,1.9049034039139003,True,3,2,2.018002432031967,good,bj,False
20,695.0,flat,-0.8300949442998812,False,1,1,-1.066334506462637,good,4,True
21,675.0,flat,-0.8300949442998812,True,1,1,0.5068014979430384,good,bj,False
22,750.0,studio,-0.6197104559757441,False,0,1,-1.1582763053576646,good,bj,True
23,750.0,flat,1.652442017924936,True,3,2,1.980235342614476,good,1,True
24,680.0,flat,-0.9142487396295359,False,1,1,-1.0426838829526621,good,1,True
25,750.0,flat,-0.36724906998677964,True,1,1,-0.3549680962016727,good,1,True
26,750.0,penthouse,0.011443008996666997,True,1,1,0.341247133373214,good,2,False
27,750.0,studio,-1.4612484092722922,False,0,1,-1.1947869554011885,good,4,True
28,750.0,flat,-0.8300949442998812,False,1,1,-1.0871766184308025,good,1,False
29,650.0,flat,0.09559680432632181,True,2,1,-0.6546658409921362,good,1,False
30,750.0,studio,-1.2508639209481551,True,0,1,-1.1650758596167825,good,3,False
31,750.0,flat,-0.8721718419647085,False,1,1,-1.083702933102775,good,5,False
32,700.0,flat,0.09559680432632181,True,2,1,-0.606551603789031,good,3,False
33,747.0,flat,1.5262113249304536,True,3,2,0.7325910442648302,good,1,True
34,640.0,studio,-1.040479432624018,True,0,1,-0.6928763796004394,good,1,True
35,750.0,flat,-1.2508639209481551,False,1,1,-1.0765338378513138,good,st,True
36,750.0,flat,0.43221198564494107,True,2,1,0.8872069954612913,good,2,True
37,625.0,flat,-0.3251721723219523,True,2,1,1.7550370618804336,good,2,False
38,700.0,studio,-0.8300949442998812,True,0,1,-1.1284173931763213,good,3,True
39,750.0,studio,-0.8300949442998812,True,0,1,-1.0555439094862111,good,en,True
40,650.0,flat,-1.040479432624018,False,1,1,-1.1513289347016096,good,2,True
41,720.0,flat,0.43221198564494107,True,3,1,0.9164746420548853,good,2,False
42,699.0,flat,-0.3251721723219523,True,1,1,-0.7100230816451713,good,3,True
43,750.0,flat,0.22182749732080403,True,2,1,-0.2673868810162968,good,Desconocido,True
44,695.0,flat,0.22182749732080403,True,2,1,-0.20656043367658009,good,Desconocido,True
45,750.0,flat,0.7688271669635603,True,2,2,0.22321574041874542,good,Desconocido,True
46,620.0,flat,0.011443008996666997,True,2,1,-0.6443186932065221,good,Desconocido,False
47,500.0,studio,-1.33501771627781,False,0,1,-1.177344620562582,good,1,False
48,550.0,flat,-0.9142487396295359,True,1,1,-0.42577215033466015,good,Desconocido,False
49,750.0,flat,-0.5776335583109167,False,1,1,-1.125091524245231,good,3,True
50,680.0,studio,-0.19894147932747003,True,0,1,-0.8574699375901711,good,bj,False
51,700.0,flat,-0.40932596765160706,True,1,2,1.1347255521328725,Desconocido,Desconocido,Desconocido
52,750.0,duplex,-1.040479432624018,True,1,1,-0.9350735459822763,Desconocido,Desconocido,Desconocido
53,750.0,flat,0.26390439498563145,True,2,1,-0.25038799536850237,good,1,True
54,650.0,flat,0.22182749732080403,True,1,1,0.9416773377327023,good,en,True
55,720.0,flat,3.0830565385290676,False,3,2,0.20355615962607876,good,1,True
56,600.0,flat,-0.40932596765160706,True,1,1,0.5713972634046575,good,Desconocido,True
57,650.0,flat,0.0535199066614944,True,1,1,1.344181386593088,good,2,True
58,650.0,flat,0.22182749732080403,False,2,1,-0.3815011394519258,good,3,False
59,700.0,flat,-0.6197104559757441,True,1,1,-0.32355711185248726,good,3,False
60,625.0,flat,0.09559680432632181,True,2,1,-0.3719669818494672,good,bj,False
61,595.0,flat,-0.6197104559757441,True,1,1,-0.8984150795418152,good,bj,False
62,650.0,flat,-0.19894147932747003,True,1,1,-0.45851348225628163,good,4,True
63,725.0,flat,-0.40932596765160706,True,1,1,-0.6644956313884695,good,2,True
64,750.0,flat,1.4841344272656263,True,3,1,0.8709471917981836,good,8,True
65,700.0,penthouse,-1.2508639209481551,True,1,1,-0.34366014183596594,good,1,True
